"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","median","hdi_low","hdi_high"
"PROBS[1,1]",0.476068845284698,0.047088632339614,0.372786836539523,0.47971039060627,0.558005808383117,1.05,527,0.47971039060627,0.381589185316024,0.564768225241058
"PROBS[2,1]",0.422407572645629,0.0530491433573781,0.308819973473849,0.425759959898062,0.517109988095756,1.06,420,0.425759959898062,0.315840836098061,0.522015974765765
"PROBS[3,1]",0.464427370042357,0.0528135497422696,0.347543234718654,0.468982548652812,0.55383816078423,1.04,441,0.468982548652812,0.35955055627833,0.563389682116871
"PROBS[1,2]",0.20602027131683,0.0803209398071237,0.0810261101288707,0.196484038785028,0.386940231172076,1.06,271,0.196484038785028,0.0647927388368164,0.358973540243332
"PROBS[2,2]",0.255307814081212,0.0911043556481529,0.106582999725738,0.246667357667149,0.454589439277613,1.06,272,0.246667357667149,0.0879649990092112,0.427735930397958
"PROBS[3,2]",0.261814540267327,0.0948185418998792,0.107575167147016,0.252622676736351,0.470012774778617,1.07,248,0.252622676736351,0.095327183208743,0.449325470470291
"PROBS[1,3]",0.014338950417966,0.0111831451299562,0.00153290191670826,0.0115870615640092,0.043474723847703,1.06,308,0.0115870615640092,0.000466101589189698,0.0355175871510413
"PROBS[2,3]",0.028893833888738,0.0220074805380952,0.00317197135993869,0.023620199126172,0.0863164621866144,1.06,302,0.023620199126172,0.000959695296693603,0.0709010964949407
"PROBS[3,3]",0.00109544345840693,0.000937491170122854,0.00010840106227044,0.000847680129620133,0.00357302270017289,1.05,360,0.000847680129620133,2.79439650122381e-05,0.00287818796872342
"PROBS[1,4]",0.0522260007454771,0.00780976742736614,0.0381853919736984,0.0518230926437409,0.0686914649847721,1.01,3883,0.0518230926437409,0.0376414934251564,0.0679799885967649
"PROBS[2,4]",0.0789236217220699,0.0130347475681409,0.0552493784879991,0.0783605937044065,0.106250846784602,1.02,2176,0.0783605937044065,0.0542310571301268,0.104854016627862
"PROBS[3,4]",0.0279085549238673,0.00436300206441897,0.020029958159591,0.0276936503156118,0.037024935137807,1.02,2833,0.0276936503156118,0.0196624104078164,0.0365840386752748
"PROBS[1,5]",0.146650947011473,0.0337514386849198,0.0847965611715888,0.144659328324805,0.218718369925212,1.06,464,0.144659328324805,0.0821301578384703,0.215219259410256
"PROBS[2,5]",0.17311722163758,0.0436596571844354,0.0944326197701335,0.170339799309421,0.266909308404255,1.07,421,0.170339799309421,0.0894482804271531,0.261019973731979
"PROBS[3,5]",0.204726756079098,0.0475914477476392,0.116620369036606,0.20268387669029,0.303678454894151,1.06,396,0.20268387669029,0.114996638926872,0.301912389822548
"PROBS[1,6]",0.104694985223556,0.023208077968745,0.0638990807701559,0.103044897402495,0.155902797654864,1.02,909,0.103044897402495,0.0611228576036875,0.151776391775463
"PROBS[2,6]",0.0413499360247708,0.0115254858559513,0.0221995840494107,0.0401883265996271,0.0674210899944927,1.02,1023,0.0401883265996271,0.0203891178483433,0.0645888550811959
"PROBS[3,6]",0.0400273352289436,0.0100252818081593,0.0229461490401582,0.0391287453788677,0.0625656352532401,1.02,914,0.0391287453788677,0.0214309538330712,0.0603473447813464
